INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182078925,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,D14, ,,2018-09-30 00:54:09,2018,9,Sunday,0,Part Two,BRIGHTON AVE,,,"(0.00000000, 0.00000000)"
I182078925,02905,Violations,VAL - OPERATING WITHOUT LICENSE,D14, ,,2018-09-30 00:54:09,2018,9,Sunday,0,Part Two,BRIGHTON AVE,,,"(0.00000000, 0.00000000)"
I182078924,03304,Assembly or Gathering Violations,NOISY PARTY/RADIO-NO ARREST,B2,586,,2018-09-30 00:58:00,2018,9,Sunday,0,Part Three,HILLSIDE ST,42.33013124,-71.10138008,"(42.33013124, -71.10138008)"
I182078922,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,800,,2018-09-30 00:27:00,2018,9,Sunday,0,Part Three,PRATT ST,42.35491054,-71.12719273,"(42.35491054, -71.12719273)"
I182078921,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,598,,2018-09-30 00:14:00,2018,9,Sunday,0,Part One,DALTON ST,42.34702480,-71.08516365,"(42.34702480, -71.08516365)"
I182078919,01402,Vandalism,VANDALISM,D4,628,,2018-09-29 23:32:00,2018,9,Saturday,23,Part Two,BROOKLINE AVE,42.34573350,-71.10008092,"(42.34573350, -71.10008092)"
I182078918,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,D4,624,,2018-09-29 23:59:00,2018,9,Saturday,23,Part Three,LANSDOWNE ST,42.34717363,-71.09644390,"(42.34717363, -71.09644390)"
I182078917,01402,Vandalism,VANDALISM,B2,182,,2018-09-29 09:00:00,2018,9,Saturday,9,Part Two,SHIRLEY ST,42.32569490,-71.06816778,"(42.32569490, -71.06816778)"
I182078916,03115,Investigate Person,INVESTIGATE PERSON,D14,791,,2018-09-01 00:00:00,2018,9,Saturday,0,Part Three,CAROL AVE,42.34497953,-71.14090626,"(42.34497953, -71.14090626)"
I182078915,03115,Investigate Person,INVESTIGATE PERSON,B3,444,,2018-09-29 23:42:00,2018,9,Saturday,23,Part Three,BLUE HILL AVE,42.29663584,-71.08729385,"(42.29663584, -71.08729385)"
I182078914,01001,Counterfeiting,FORGERY / COUNTERFEITING,D4,626,,2018-09-29 23:18:00,2018,9,Saturday,23,Part Two,JERSEY ST,42.34241899,-71.09678306,"(42.34241899, -71.09678306)"
I182078913,03114,Investigate Property,INVESTIGATE PROPERTY,B3,421,,2018-09-29 23:29:00,2018,9,Saturday,23,Part Three,W SELDEN ST,42.27967492,-71.08381263,"(42.27967492, -71.08381263)"
I182078912,03501,Missing Person Reported,MISSING PERSON,E18,539,,2018-09-29 23:14:00,2018,9,Saturday,23,Part Three,THOMPSON ST,42.25316873,-71.13277125,"(42.25316873, -71.13277125)"
I182078912,03502,Missing Person Located,MISSING PERSON - LOCATED,E18,539,,2018-09-29 23:14:00,2018,9,Saturday,23,Part Three,THOMPSON ST,42.25316873,-71.13277125,"(42.25316873, -71.13277125)"
I182078911,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,237,,2018-09-29 23:07:00,2018,9,Saturday,23,Part Two,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
I182078911,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,237,,2018-09-29 23:07:00,2018,9,Saturday,23,Part Three,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
I182078910,03301,Verbal Disputes,VERBAL DISPUTE,B3,454,,2018-09-29 23:29:00,2018,9,Saturday,23,Part Three,HARVARD ST,42.29869500,-71.07555206,"(42.29869500, -71.07555206)"
I182078909,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,B3,447,,2018-09-29 22:43:00,2018,9,Saturday,22,Part Three,THANE ST,42.29557336,-71.07584328,"(42.29557336, -71.07584328)"
I182078908,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,368,,2018-09-29 13:30:00,2018,9,Saturday,13,Part One,NEPONSET AVE,42.29468307,-71.05274587,"(42.29468307, -71.05274587)"
I182078905,02102,Operating Under the Influence,OPERATING UNDER THE INFLUENCE DRUGS,B2, ,,2018-09-29 21:59:00,2018,9,Saturday,21,Part Two,FOREST ST,,,"(0.00000000, 0.00000000)"
I182078905,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2, ,,2018-09-29 21:59:00,2018,9,Saturday,21,Part Two,FOREST ST,,,"(0.00000000, 0.00000000)"
I182078905,01844,Drug Violation,DRUGS - POSS CLASS C,B2, ,,2018-09-29 21:59:00,2018,9,Saturday,21,Part Two,FOREST ST,,,"(0.00000000, 0.00000000)"
I182078905,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2, ,,2018-09-29 21:59:00,2018,9,Saturday,21,Part Two,FOREST ST,,,"(0.00000000, 0.00000000)"
I182078904,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,302,,2018-09-29 22:16:00,2018,9,Saturday,22,Part Three,CENTRE ST,42.32270922,-71.09932317,"(42.32270922, -71.09932317)"
I182078903,03201,Property Lost,PROPERTY - LOST,B2,603,,2018-09-29 22:40:00,2018,9,Saturday,22,Part Three,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)"
I182078902,02660,Other,OTHER OFFENSE,D14,775,,2018-09-29 21:52:00,2018,9,Saturday,21,Part Two,WALLINGFORD RD,42.34134946,-71.15122795,"(42.34134946, -71.15122795)"
I182078901,03821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4,622,,2018-09-29 22:02:00,2018,9,Saturday,22,Part Three,BEACON ST,42.34925805,-71.09526425,"(42.34925805, -71.09526425)"
I182078900,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,771,,2018-09-29 21:12:00,2018,9,Saturday,21,Part Three,PARSONS ST,42.34910664,-71.15577604,"(42.34910664, -71.15577604)"
I182078899,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,903,,2018-09-29 21:52:00,2018,9,Saturday,21,Part Two,LATTIMORE CT,42.33676619,-71.08205122,"(42.33676619, -71.08205122)"
I182078897,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,620,,2018-09-29 21:22:00,2018,9,Saturday,21,Part Two,MASSACHUSETTS AVE,42.34569518,-71.08695736,"(42.34569518, -71.08695736)"
I182078895,03115,Investigate Person,INVESTIGATE PERSON,E18,530,,2018-09-29 21:27:00,2018,9,Saturday,21,Part Three,READVILLE ST,42.24077498,-71.13536804,"(42.24077498, -71.13536804)"
I182078894,00724,Auto Theft,AUTO THEFT,D4,273,,2018-09-29 16:20:00,2018,9,Saturday,16,Part One,CAMDEN ST,42.33653701,-71.07927092,"(42.33653701, -71.07927092)"
I182078893,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,416,Y,2018-09-29 21:12:00,2018,9,Saturday,21,Part One,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)"
I182078893,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,416,Y,2018-09-29 21:12:00,2018,9,Saturday,21,Part Two,WASHINGTON ST,42.28164735,-71.07111848,"(42.28164735, -71.07111848)"
I182078891,03114,Investigate Property,INVESTIGATE PROPERTY,E13,307,,2018-09-29 21:11:05,2018,9,Saturday,21,Part Three,WALDREN RD,42.31586862,-71.09479672,"(42.31586862, -71.09479672)"
I182078890,03115,Investigate Person,INVESTIGATE PERSON,E5,559,,2018-09-29 20:06:00,2018,9,Saturday,20,Part Three,METROPOLITAN AVE,42.28075962,-71.13254052,"(42.28075962, -71.13254052)"
I182078889,00361,Robbery,ROBBERY - OTHER,A1,100,,2018-09-29 02:30:00,2018,9,Saturday,2,Part One,STATE ST,42.35913205,-71.05504984,"(42.35913205, -71.05504984)"
I182078888,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,462,,2018-09-29 20:18:00,2018,9,Saturday,20,Part Three,BOWDOIN AVE,42.30090969,-71.07425843,"(42.30090969, -71.07425843)"
I182078887,03114,Investigate Property,INVESTIGATE PROPERTY,E13,608,,2018-09-29 20:21:00,2018,9,Saturday,20,Part Three,S HUNTINGTON AVE,42.32639844,-71.11152626,"(42.32639844, -71.11152626)"
I182078886,01415,Vandalism,GRAFFITI,C11,364,,2018-09-29 20:49:00,2018,9,Saturday,20,Part Two,CENTRE ST,42.29472426,-71.05798100,"(42.29472426, -71.05798100)"
I182078885,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,C11,396,,2018-09-29 20:28:00,2018,9,Saturday,20,Part Two,SANTUIT ST,42.29042439,-71.06380740,"(42.29042439, -71.06380740)"
I182078884,02906,Violations,VAL - OPERATING UNREG/UNINS �CAR,C6,177,,2018-09-29 19:08:00,2018,9,Saturday,19,Part Two,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
I182078883,03410,Towed,TOWED MOTOR VEHICLE,D14,801,,2018-09-29 19:14:00,2018,9,Saturday,19,Part Three,HARVARD AVE,42.35486542,-71.13259322,"(42.35486542, -71.13259322)"
I182078881,01402,Vandalism,VANDALISM,B2,329,,2018-09-29 19:42:00,2018,9,Saturday,19,Part Two,DEVON ST,42.30927790,-71.07868791,"(42.30927790, -71.07868791)"
I182078880,03114,Investigate Property,INVESTIGATE PROPERTY,D4, ,,2018-09-29 15:20:00,2018,9,Saturday,15,Part Three,COLUMBUS AVE,,,"(0.00000000, 0.00000000)"
I182078879,03125,Warrant Arrests,WARRANT ARREST,B3,428,,2018-09-29 19:31:00,2018,9,Saturday,19,Part Three,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)"
I182078878,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,280,,2018-09-29 17:54:00,2018,9,Saturday,17,Part Two,DUDLEY ST,42.32883627,-71.08459849,"(42.32883627, -71.08459849)"
I182078877,00423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,171,,2018-09-29 18:14:00,2018,9,Saturday,18,Part One,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182078877,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,171,,2018-09-29 18:14:00,2018,9,Saturday,18,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182078877,01402,Vandalism,VANDALISM,D4,171,,2018-09-29 18:14:00,2018,9,Saturday,18,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182078877,02619,Prisoner Related Incidents,FUGITIVE FROM JUSTICE,D4,171,,2018-09-29 18:14:00,2018,9,Saturday,18,Part Two,HARRISON AVE,42.33555954,-71.07436364,"(42.33555954, -71.07436364)"
I182078875,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,239,,2018-09-29 19:46:00,2018,9,Saturday,19,Part Three,DUDLEY ST,42.31715877,-71.06543173,"(42.31715877, -71.06543173)"
I182078874,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,61,,2018-09-29 19:28:00,2018,9,Saturday,19,Part Three,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182078873,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-09-29 18:00:00,2018,9,Saturday,18,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182078872,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,330,Y,2018-09-29 19:21:00,2018,9,Saturday,19,Part One,SEAVER ST,42.30455372,-71.08295366,"(42.30455372, -71.08295366)"
I182078871,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,355,,2018-09-29 17:54:00,2018,9,Saturday,17,Part Three,GIBSON ST,42.29755533,-71.05970910,"(42.29755533, -71.05970910)"
I182078870,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D4,594,,2018-09-29 19:11:00,2018,9,Saturday,19,Part Three,MASSACHUSETTS AVE,42.34218758,-71.08407092,"(42.34218758, -71.08407092)"
I182078870,03410,Towed,TOWED MOTOR VEHICLE,D4,594,,2018-09-29 19:11:00,2018,9,Saturday,19,Part Three,MASSACHUSETTS AVE,42.34218758,-71.08407092,"(42.34218758, -71.08407092)"
I182078869,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,B3,441,,2018-09-29 19:03:00,2018,9,Saturday,19,Part Two,KINGSDALE ST,42.29441208,-71.08358863,"(42.29441208, -71.08358863)"
I182078868,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11, ,,2018-09-29 18:10:00,2018,9,Saturday,18,Part Two,,,,"(0.00000000, 0.00000000)"
I182078867,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-09-29 18:00:00,2018,9,Saturday,18,Part One,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)"
I182078865,03125,Warrant Arrests,WARRANT ARREST,B2,240,,2018-09-29 18:24:00,2018,9,Saturday,18,Part Three,COLUMBIA RD,42.31959298,-71.06260700,"(42.31959298, -71.06260700)"
I182078864,03301,Verbal Disputes,VERBAL DISPUTE,B2,304,,2018-09-29 18:31:00,2018,9,Saturday,18,Part Three,WASHINGTON ST,42.32042206,-71.09360887,"(42.32042206, -71.09360887)"
I182078863,00616,Larceny,LARCENY THEFT OF BICYCLE,A1,67,,2018-09-29 11:30:00,2018,9,Saturday,11,Part One,PINCKNEY ST,42.35883898,-71.06608613,"(42.35883898, -71.06608613)"
I182078862,02610,Other,TRESPASSING,B2,268,,2018-09-29 18:16:00,2018,9,Saturday,18,Part Two,ALBANY ST,42.33076942,-71.07766482,"(42.33076942, -71.07766482)"
I182078861,03115,Investigate Person,INVESTIGATE PERSON,D4,146,,2018-09-29 16:54:00,2018,9,Saturday,16,Part Three,HUNTINGTON AVE,42.34585625,-71.08099529,"(42.34585625, -71.08099529)"
I182078860,00724,Auto Theft,AUTO THEFT,A1,117,,2018-09-29 18:15:00,2018,9,Saturday,18,Part One,HARRISON AVE,42.35115526,-71.06130589,"(42.35115526, -71.06130589)"
I182078859,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B2, ,,2018-09-29 12:43:00,2018,9,Saturday,12,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
I182078858,00724,Auto Theft,AUTO THEFT,C6,206,,2018-09-26 20:00:00,2018,9,Wednesday,20,Part One,STILLINGS ST,42.35060533,-71.04724915,"(42.35060533, -71.04724915)"
I182078857,03114,Investigate Property,INVESTIGATE PROPERTY,A1,115,,2018-09-29 17:52:00,2018,9,Saturday,17,Part Three,LINCOLN ST,42.35043297,-71.05873158,"(42.35043297, -71.05873158)"
I182078856,03410,Towed,TOWED MOTOR VEHICLE,D14,785,,2018-09-29 16:54:00,2018,9,Saturday,16,Part Three,CLAYMOSS RD,42.34475099,-71.14600972,"(42.34475099, -71.14600972)"
I182078855,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,,2018-09-29 17:50:00,2018,9,Saturday,17,Part Three,CEDAR ST,,,"(0.00000000, 0.00000000)"
I182078854,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,652,,2018-09-29 17:24:00,2018,9,Saturday,17,Part Three,MARTINWOOD RD,42.29987641,-71.11652895,"(42.29987641, -71.11652895)"
I182078853,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C6,915,,2018-09-29 17:50:00,2018,9,Saturday,17,Part Two,PATTERSON WAY,42.33082840,-71.05192376,"(42.33082840, -71.05192376)"
I182078852,03207,Property Found,PROPERTY - FOUND,A15,58,,2018-09-29 18:16:00,2018,9,Saturday,18,Part Three,MAIN ST,42.37746305,-71.06697969,"(42.37746305, -71.06697969)"
I182078850,03410,Towed,TOWED MOTOR VEHICLE,C11,249,,2018-09-29 17:54:00,2018,9,Saturday,17,Part Three,TUTTLE ST,42.31351886,-71.05356300,"(42.31351886, -71.05356300)"
I182078849,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D4,147,,2018-09-29 16:34:00,2018,9,Saturday,16,Part Three,COLUMBUS AVE,42.34112700,-71.08115200,"(42.34112700, -71.08115200)"
I182078847,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,B2,258,,2018-09-29 17:32:00,2018,9,Saturday,17,Part Two,COLUMBIA RD,42.31684532,-71.06556419,"(42.31684532, -71.06556419)"
I182078846,03115,Investigate Person,INVESTIGATE PERSON,D4,624,,2018-09-29 15:00:00,2018,9,Saturday,15,Part Three,YAWKEY WAY,42.34653820,-71.09880598,"(42.34653820, -71.09880598)"
I182078845,03114,Investigate Property,INVESTIGATE PROPERTY,D14,773,,2018-09-29 17:03:00,2018,9,Saturday,17,Part Three,RADNOR RD,42.34054124,-71.15776130,"(42.34054124, -71.15776130)"
I182078843,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,28,,2018-09-29 17:40:00,2018,9,Saturday,17,Part Three,MAVERICK SQ,42.36995418,-71.03900989,"(42.36995418, -71.03900989)"
I182078841,03207,Property Found,PROPERTY - FOUND,D14,938,,2018-09-29 12:00:00,2018,9,Saturday,12,Part Three,FIDELIS WAY,42.34583760,-71.14492138,"(42.34583760, -71.14492138)"
I182078840,00724,Auto Theft,AUTO THEFT,D4,162,,2018-09-28 17:53:00,2018,9,Friday,17,Part One,HARRISON AVE,42.34493428,-71.06366374,"(42.34493428, -71.06366374)"
I182078839,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,111,,2018-09-29 17:31:00,2018,9,Saturday,17,Part Three,WINTER ST,42.35554806,-71.06073140,"(42.35554806, -71.06073140)"
I182078838,03115,Investigate Person,INVESTIGATE PERSON,A1,111,,2018-09-29 17:20:00,2018,9,Saturday,17,Part Three,TEMPLE PL,42.35521429,-71.06206351,"(42.35521429, -71.06206351)"
I182078837,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,798,,2018-09-29 16:40:00,2018,9,Saturday,16,Part Three,BABCOCK ST,42.35269523,-71.12109586,"(42.35269523, -71.12109586)"
I182078836,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,939,,2018-09-29 16:19:00,2018,9,Saturday,16,Part Three,N BEACON ST,42.35666076,-71.15104267,"(42.35666076, -71.15104267)"
I182078835,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,496,,2018-09-29 10:45:00,2018,9,Saturday,10,Part Two,HYDE PARK AVE,42.26922388,-71.12085347,"(42.26922388, -71.12085347)"
I182078834,03114,Investigate Property,INVESTIGATE PROPERTY,A1,69,,2018-09-29 15:09:00,2018,9,Saturday,15,Part Three,CHARLES ST,42.35685593,-71.06979283,"(42.35685593, -71.06979283)"
I182078833,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,117,,2018-09-29 16:27:00,2018,9,Saturday,16,Part Three,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182078832,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,D14,796,,2018-09-29 16:35:00,2018,9,Saturday,16,Part Three,HARVARD AVE,42.34902699,-71.12987800,"(42.34902699, -71.12987800)"
I182078831,03114,Investigate Property,INVESTIGATE PROPERTY,B2,587,,2018-09-29 15:30:00,2018,9,Saturday,15,Part Three,DELLE AVE,42.33082052,-71.09800691,"(42.33082052, -71.09800691)"
I182078830,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,911,,2018-09-29 17:10:00,2018,9,Saturday,17,Part Two,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I182078829,01201,Embezzlement,EMBEZZLEMENT,C6,186,,2018-08-21 12:00:00,2018,8,Tuesday,12,Part Two,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I182078828,03001,Medical Assistance,DEATH INVESTIGATION,E5,561,,2018-09-29 17:02:00,2018,9,Saturday,17,Part Three,CUMMINS HWY,42.28342716,-71.12422635,"(42.28342716, -71.12422635)"
I182078827,03115,Investigate Person,INVESTIGATE PERSON,C6,936,,2018-09-29 16:10:00,2018,9,Saturday,16,Part Three,ORTON-MAROTTA WAY,42.33802658,-71.05492863,"(42.33802658, -71.05492863)"
I182078826,03821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4,624,,2018-09-29 16:55:00,2018,9,Saturday,16,Part Three,IPSWICH ST,42.34660366,-71.09497996,"(42.34660366, -71.09497996)"
I182078824,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,349,,2018-09-27 08:30:00,2018,9,Thursday,8,Part One,ELLET ST,42.30421672,-71.05936906,"(42.30421672, -71.05936906)"
I182078823,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,752,,2018-09-16 16:35:00,2018,9,Sunday,16,Part Two,WASHINGTON ST,42.35009144,-71.16504457,"(42.35009144, -71.16504457)"
I182078822,03502,Missing Person Located,MISSING PERSON - LOCATED,B2,331,,2018-09-28 11:00:00,2018,9,Friday,11,Part Three,GLENDALE ST,42.31303093,-71.06932562,"(42.31303093, -71.06932562)"
I182078822,03501,Missing Person Reported,MISSING PERSON,B2,331,,2018-09-28 11:00:00,2018,9,Friday,11,Part Three,GLENDALE ST,42.31303093,-71.06932562,"(42.31303093, -71.06932562)"
I182078820,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,112,,2018-09-28 17:16:00,2018,9,Friday,17,Part Two,WASHINGTON ST,42.35512339,-71.06087980,"(42.35512339, -71.06087980)"
I182078819,03115,Investigate Person,INVESTIGATE PERSON,D4,171,,2018-09-29 14:48:00,2018,9,Saturday,14,Part Three,HARRISON AVE,42.33511904,-71.07491710,"(42.33511904, -71.07491710)"
I182078818,03115,Investigate Person,INVESTIGATE PERSON,E18,493,,2018-09-26 16:08:00,2018,9,Wednesday,16,Part Three,RIVER ST,42.26283035,-71.10809203,"(42.26283035, -71.10809203)"
I182078817,03410,Towed,TOWED MOTOR VEHICLE,E5,556,,2018-09-29 14:33:00,2018,9,Saturday,14,Part Three,CUMMINS HWY,42.28110635,-71.12133926,"(42.28110635, -71.12133926)"
I182078816,03130,Search Warrants,SEARCH WARRANT,A7,28,,2018-09-29 14:46:00,2018,9,Saturday,14,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182078815,03130,Search Warrants,SEARCH WARRANT,A7,28,,2018-09-29 13:26:00,2018,9,Saturday,13,Part Three,COURT RD,,,"(0.00000000, 0.00000000)"
I182078813,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,183,,2018-09-29 14:08:00,2018,9,Saturday,14,Part Two,DUDLEY ST,42.32104169,-71.07215291,"(42.32104169, -71.07215291)"
I182078812,03115,Investigate Person,INVESTIGATE PERSON,A7,824,,2018-09-29 14:00:00,2018,9,Saturday,14,Part Three,TRENTON ST,42.37968456,-71.03428645,"(42.37968456, -71.03428645)"
I182078811,03125,Warrant Arrests,WARRANT ARREST,C6,178,,2018-09-29 14:09:00,2018,9,Saturday,14,Part Three,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182078811,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,178,,2018-09-29 14:09:00,2018,9,Saturday,14,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182078810,03821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4, ,,2018-09-29 14:07:00,2018,9,Saturday,14,Part Three,GAINSBOROUGH ST,,,"(0.00000000, 0.00000000)"
I182078809,03114,Investigate Property,INVESTIGATE PROPERTY,A1,61,,2018-09-29 14:20:00,2018,9,Saturday,14,Part Three,FLEET CENTER PL,42.36646326,-71.06067801,"(42.36646326, -71.06067801)"
I182078808,00619,Larceny,LARCENY ALL OTHERS,B2,297,,2018-09-29 13:33:00,2018,9,Saturday,13,Part One,KENSINGTON PARK,42.32224255,-71.08277356,"(42.32224255, -71.08277356)"
I182078806,01001,Counterfeiting,FORGERY / COUNTERFEITING,E18,522,,2018-09-29 13:31:00,2018,9,Saturday,13,Part Two,HYDE PARK AVE,42.25332979,-71.12467152,"(42.25332979, -71.12467152)"
I182078805,03201,Property Lost,PROPERTY - LOST,B2,261,,2018-09-29 02:00:00,2018,9,Saturday,2,Part Three,BROOK AVE,42.32075362,-71.07405968,"(42.32075362, -71.07405968)"
I182078803,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,B2,299,,2018-09-29 14:07:00,2018,9,Saturday,14,Part Two,REGENT ST,42.32347517,-71.08750190,"(42.32347517, -71.08750190)"
I182078802,03301,Verbal Disputes,VERBAL DISPUTE,D4,626,,2018-09-29 13:22:00,2018,9,Saturday,13,Part Three,PARK DR,42.34160357,-71.09771750,"(42.34160357, -71.09771750)"
I182078801,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,C6,195,,2018-09-29 13:41:00,2018,9,Saturday,13,Part Two,D ST,42.33434331,-71.05615623,"(42.33434331, -71.05615623)"
I182078800,03201,Property Lost,PROPERTY - LOST,B2,282,,2018-09-28 21:00:00,2018,9,Friday,21,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182078799,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,365,,2018-09-29 12:34:00,2018,9,Saturday,12,Part Three,KING ST,42.29273124,-71.05886116,"(42.29273124, -71.05886116)"
I182078798,03115,Investigate Person,INVESTIGATE PERSON,D4,625,,2018-09-29 13:14:50,2018,9,Saturday,13,Part Three,QUEENSBERRY ST,42.34314406,-71.09589305,"(42.34314406, -71.09589305)"
I182078797,03201,Property Lost,PROPERTY - LOST,E18,480,,2018-09-29 13:43:00,2018,9,Saturday,13,Part Three,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I182078795,03201,Property Lost,PROPERTY - LOST,D4,624,,2018-09-29 13:30:00,2018,9,Saturday,13,Part Three,LANSDOWNE ST,42.34717363,-71.09644390,"(42.34717363, -71.09644390)"
I182078793,03130,Search Warrants,SEARCH WARRANT,A7,28,,2018-09-29 13:26:00,2018,9,Saturday,13,Part Three,COURT RD,,,"(0.00000000, 0.00000000)"
I182078792,01806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,B3,429,,2018-09-29 13:04:00,2018,9,Saturday,13,Part Two,NORFOLK ST,42.28199634,-71.08661103,"(42.28199634, -71.08661103)"
I182078792,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,429,,2018-09-29 13:04:00,2018,9,Saturday,13,Part Two,NORFOLK ST,42.28199634,-71.08661103,"(42.28199634, -71.08661103)"
I182078792,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3,429,,2018-09-29 13:04:00,2018,9,Saturday,13,Part Two,NORFOLK ST,42.28199634,-71.08661103,"(42.28199634, -71.08661103)"
